"ID,Judge Name,Is male,Court,District,Municipal,Justice,Probate,County,Type,Political,Sex,Financial,Corruption,Legal,Other,Sanction,Sanction_2,Public reprimand,Resignation,Public admonition,Public warning,Suspension,Removed,Sanction 2"
"18,""Charleston, Dewayne"",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Removed from office following conviction,,0,0,0,0,0,1,0"
"19,""Garza, Gustavo"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public warning,,0,0,0,1,0,0,0"
"20,""Hernandez, Sissy"",0,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Removed from office following conviction,,0,0,0,0,0,1,0"
"21,""Jackson, Donald"",1,County,0,0,0,0,1,Sex,0,1,0,0,0,0,Removed from office following conviction,,0,0,0,0,0,1,0"
"22,""James, William V. "",1,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Public warning ,,0,0,0,1,0,0,0"
"23,""Jones, Thomas G. "",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public admonition ,,0,0,1,0,0,0,0"
"24,""Perez, Cesar"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public admonition ,Order of additional education,0,0,1,0,0,0,1"
"25,""Priddy, Bruce"",1,District,1,0,0,0,0,Political,1,0,0,0,0,0,Public warning ,,0,0,0,1,0,0,0"
"26,""Prohl, Emil Karl"",1,District,1,0,0,0,0,Financial,0,0,1,0,0,0,Resignation,,0,1,0,0,0,0,0"
"27,""Quinetero, Ramiro V. "",1,Justice,0,0,1,0,0,N/A,0,0,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
"28,""Torres,  Tony"",1,Justice ,0,0,1,0,0,Legal,0,0,0,0,1,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"29,""Valadez, Mary D. "",0,Justice ,0,0,1,0,0,Legal,0,0,0,0,1,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"30,""Caceres, Hilda"",0,Municipal ,0,1,0,0,0,Other,0,0,0,0,0,1,Removed from office following conviction,,0,0,0,0,0,1,0"
"31,""Densen, Woodrow"",1,Municipal ,0,1,0,0,0,Other,0,0,0,0,0,1,Public warning,,0,0,0,1,0,0,0"
"32,""Fitzgerald, John Philip "",1,County,0,0,0,0,1,Corruption,0,0,0,1,0,0,Public admonition ,,0,0,1,0,0,0,0"
"33,""Garza, Joe Henry"",1,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"34,""Guerrero, Monica"",0,County,0,0,0,0,1,Corruption,0,0,0,1,0,0,Public admonition ,,0,0,1,0,0,0,0"
"35,""Hurse, Charles Leon"",1,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"36,""Muerer, W. Jeanne"",0,District ,1,0,0,0,0,Legal,0,0,0,0,1,0,Public admonition ,,0,0,1,0,0,0,0"
"37,""Murray, Donna"",0,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Removed from office following conviction,,0,0,0,0,0,1,0"
"38,""Purvis, John C. "",1,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"39,""Boyett, George"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"40,""Brand, Seale"",1,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"41,""Corbin, Charles Thomas"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public admonition ,,0,0,1,0,0,0,0"
"42,""Cox, Jeff"",1,Justice,0,0,1,0,0,Corruption ,0,0,0,1,0,0,Public admonition ,,0,0,1,0,0,0,0"
"43,""Medrano, Carlos"",1,Justice,0,0,1,0,0,Political ,1,0,0,0,0,0,Removed from office following conviction,,0,0,0,0,0,1,0"
"44,""Ochoa, Bennie"",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Public reprimand,,1,0,0,0,0,0,0"
"45,""Perez, Cesar"",1,Justice ,0,0,1,0,0,Legal,0,0,0,0,1,0,Public warning,,0,0,0,1,0,0,0"
"46,""Adams, J. Kent"",1,Justice,0,0,1,0,0,Legal - behavior towards defendants,0,0,0,0,1,0,Public admonition ,   ,0,0,1,0,0,0,0"
"47,""Adams, William"",1,County,0,0,0,0,1,Other,0,0,0,0,0,1,Public warning,,0,0,0,1,0,0,0"
"48,""Billingsley, Ronald Keith"",1,Justice,0,0,1,0,0,Legal - court fines,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"49,""Bowers, R.G. "",1,Municipal ,0,1,0,0,0,N/A Can't tell from info,0,0,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
"50,""De La Paz, Esequiel"",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Public warning,,0,0,0,1,0,0,0"
"51,""Nicholds, Bobby R."",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Public admonition ,,0,0,1,0,0,0,0"
"52,""Perez, Mario"",1,Municipal ,0,1,0,0,0,Political,1,0,0,0,0,0,Suspension,,0,0,0,0,1,0,0"
"53,""Polansky, Margaret"",0,Municipal ,0,1,0,0,0,Other,0,0,0,0,0,1,Resignation,,0,1,0,0,0,0,0"
"54,""Wiggins, Mike"",1,County ,0,0,0,0,1,Other,0,0,0,0,0,1,Resignation,,0,1,0,0,0,0,0"
"55,""Brandford, Gladys T. "",0,Municipal ,0,1,0,0,0,Other,0,0,0,0,0,1,Resignation,,0,1,0,0,0,0,0"
"56,""Coker, Elizabeth E. "",0,District,1,0,0,0,0,Legal ,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"57,""Fernandez, James J.  "",1,Justice,0,0,1,0,0,Financial,0,0,1,0,0,0,Removed from office following conviction,,0,0,0,0,0,1,0"
"58,""Holmes Jr., Clarence E. "",1,Justice,0,0,1,0,0,N/A doesn't say,0,0,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
"59,""Koetter, Juergen"",1,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public admonition ,,0,0,1,0,0,0,0"
"60,""Nelson, Darlene"",0,Municipal ,0,1,0,0,0,Financial,0,0,1,0,0,0,Resignation,,0,1,0,0,0,0,0"
"61,""Nicholds, Bobby R. "",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Public reprimand,,1,0,0,0,0,0,0"
"62,""Saldana, Marisela"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public warning,,0,0,0,1,0,0,0"
"63,Williams. Eric L. ,1,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Removed from office following conviction,,0,0,0,0,0,1,0"
"64,""Cedillo, Reynaldo"",1,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Public reprimand,,1,0,0,0,0,0,0"
"65,""Cruz, Imelda"",0,Justice,0,0,1,0,0,Political,1,0,0,0,0,0,Public warning ,,0,0,0,1,0,0,0"
"66,""De La Paz, Esequiel"",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"67,""Dupuy, Christopher"",1,County,0,0,0,0,1,Other,0,0,0,0,0,1,Public reprimand,,1,0,0,0,0,0,0"
"68,""Fletcher, Craig A."",1,County,0,0,0,0,1,Legal,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"69,""Gonzalez, Noe"",1,District,1,0,0,0,0,Financial,0,0,1,0,0,0,Public admonition ,Order of additional education,0,0,1,0,0,0,1"
"70,""Nicholds, Bobby R. "",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Public reprimand,Order of additional education ,1,0,0,0,0,0,1"
"71,""Pratt, Denise V. "",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public reprimand,,1,0,0,0,0,0,0"
"72,""Rangel, Ricardo"",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Removed from office following conviction,,0,0,0,0,0,1,0"
"73,""Romo, William C."",1,Municipal ,0,1,0,0,0,Corruption,0,0,0,1,0,0,Public reprimand,,1,0,0,0,0,0,0"
"74,""Terrazas, Kristopher L."",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"75,""Tittle Jr., Stephen R. "",1,District ,1,0,0,0,0,Legal,0,0,0,0,1,0,Public reprimand,,1,0,0,0,0,0,0"
"76,""Bronson, Clifford"",1,District,1,0,0,0,0,Other,0,0,0,0,0,1,Resignation,,0,1,0,0,0,0,0"
"77,""Caballero, Betty"",0,Justice,0,0,1,0,0,Financial,0,0,1,0,0,0,Resignation,,0,1,0,0,0,0,0"
"78,""Cardenas, Amada"",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Resignation,,0,1,0,0,0,0,0"
"79,""Clifford, Eric"",1,District,1,0,0,0,0,Corruption,0,0,0,1,0,0,Public reprimand,,1,0,0,0,0,0,0"
"80,""Cortez, Carlos"",1,District,1,0,0,0,0,Political,1,0,0,0,0,0,Public warning ,,0,0,0,1,0,0,0"
"81,""Hernandez, Angelica"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"82,""Howard, Jeanine L."",0,District,1,0,0,0,0,Sex,0,1,0,0,0,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"83,""Isassi, Alfred Lee"",1,County,0,0,0,0,1,Corruption,0,0,0,1,0,0,Removed from office following conviction,,0,0,0,0,0,1,0"
"84,""James, Patrick Ray"",1,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Resignation,,0,1,0,0,0,0,0"
"85,""Johnson, Madolyn c."",0,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Public admonition ,,0,0,1,0,0,0,0"
"86,""Kincaid, Jo"",0,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"87,""Melendrez, Teresa M."",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"88,""Mullin, Etta"",1,County,0,0,0,0,1,Legal,0,0,0,0,1,0,Public reprimand,,1,0,0,0,0,0,0"
"89,""Schildknecht, Carter"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public admonition ,Order of additional education,0,0,1,0,0,0,1"
"90,""Seiler, Michael Thomas"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"91,""Wright, Jacquelyn "",1,Justice ,0,0,1,0,0,Political,1,0,0,0,0,0,Public warning,Order of additional education ,0,0,0,1,0,0,1"
"92,""Wright, Timothy L. "",0,County,0,0,0,0,1,Other,0,0,0,0,0,1,Resignation,,0,1,0,0,0,0,0"
"93,""Baker, Joel Patrick"",0,County,0,0,0,0,1,Sex,0,1,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
"94,""Brady, Ben E. "",0,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"95,""Clifford, Eric"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"96,""Contreras, Robert"",0,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public admonition ,Order of additional education,0,0,1,0,0,0,1"
"97,""Glickler, David"",0,County ,0,0,0,0,1,Other,0,0,0,0,0,1,Public admonition ,Order of additional education,0,0,1,0,0,0,1"
"98,""Herrera, Mike "",0,District,1,0,0,0,0,Other,0,0,0,0,0,1,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"99,""Jeanes, Kenneth Bryan"",0,County ,0,0,0,0,1,Other,0,0,0,0,0,1,Public warning,,0,0,0,1,0,0,0"
"100,""Jones, Skeet Lee"",0,County,0,0,0,0,1,Legal,0,0,0,0,1,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"101,""Scales III, James B. "",0,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Public reprimand,,1,0,0,0,0,0,0"
"102,""Seiler, Michael Thomas"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"103,""Stringer, Bradley Wayne"",0,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Public reprimand,,1,0,0,0,0,0,0"
"104,""Uresti, Yolanda"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"105,""White Sr., Roland W. "",0,Municipal ,0,1,0,0,0,Corruption,0,0,0,1,0,0,Resignation,,0,1,0,0,0,0,0"
"106,""Aguilar, Luis"",0,District,1,0,0,0,0,Other,0,0,0,0,0,1,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"107,""Alford, Jim L."",0,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public warning,Order of additional education ,0,0,0,1,0,0,1"
"108,""Brown, Claudia"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"109,""Casey, Russell, B. "",0,Justice,0,0,1,0,0,Sex,0,1,0,0,0,0,Public reprimand,,1,0,0,0,0,0,0"
"110,""De La Paz, Esequiel"",0,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"111,""Garza, Jesus"",0,County,0,0,0,0,1,Corruption,0,0,0,1,0,0,Resignation,,0,1,0,0,0,0,0"
"112,""Hawthorne, Teresa"",1,District,1,0,0,0,0,Corruption,0,0,0,1,0,0,Public reprimand,,1,0,0,0,0,0,0"
"113,""Oakley, James"",0,County,0,0,0,0,1,Other,0,0,0,0,0,1,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"114,""Schildknecht, Carter"",0,District,1,0,0,0,0,Other,0,0,0,0,0,1,Public reprimand,,1,0,0,0,0,0,0"
"115,""Warren, Jeremy"",0,County ,0,0,0,0,1,Other,0,0,0,0,0,1,Public warning,Order of additional education,0,0,0,1,0,0,1"
"116,""Berry, Samuel"",0,Justice,0,0,1,0,0,Sex,0,1,0,0,0,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"117,""Bond, Stacey"",1,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public admonition ,,0,0,1,0,0,0,0"
"118,""Brady, Ben E. "",0,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"119,""Buck, Fred"",0,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"120,""Burkeen, Daniel"",0,County,0,0,0,0,1,Other,0,0,0,0,0,1,Public reprimand,,1,0,0,0,0,0,0"
"121,""Burkeen, Daniel"",0,County,0,0,0,0,1,Other,0,0,0,0,0,1,Resignation,,0,1,0,0,0,0,0"
"122,""Cano, Eleazar"",0,County ,0,0,0,0,1,Political,1,0,0,0,0,0,Public warning,,0,0,0,1,0,0,0"
"123,""Cooks, Kim"",1,District,1,0,0,0,0,Political,1,0,0,0,0,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"124,""Cross, Kelly"",1,Probate,0,0,0,1,0,Other,0,0,0,0,0,1,Public admonition ,Order of additional education,0,0,1,0,0,0,1"
"125,""Duhon III, Carbett J."",0,County,0,0,0,0,1,Political,1,0,0,0,0,0,Public warning,,0,0,0,1,0,0,0"
"126,""English, Michael Duff"",0,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"127,""Green, Hilary Harmon"",1,Justice,0,0,1,0,0,Sex,0,1,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
"128,""Hicks, Jenny"",1,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Resignation,,0,1,0,0,0,0,0"
"129,""Jasso S., Homer"",0,Justice,0,0,1,0,0,Sex,0,1,0,0,0,0,Public reprimand,Order of addition education,1,0,0,0,0,0,0"
"130,""Leal, Lucy"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Resignation,,0,1,0,0,0,0,0"
"131,""Lee, Christopher"",1,Justice ,0,0,1,0,0,Other,0,0,0,0,0,1,Public warning,Order of additional education,0,0,0,1,0,0,1"
"132,""Lopez, Leonel"",0,Municipal ,0,1,0,0,0,Political,1,0,0,0,0,0,Public reprimand,,1,0,0,0,0,0,0"
"133,""Martin, Andrea"",1,District ,1,0,0,0,0,Political ,1,0,0,0,0,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"134,""Metts Sr., James Oren"",0,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Public admonition ,,0,0,1,0,0,0,0"
"135,""Muncy, Martin"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"136,""Peyton Jr., John B. "",0,Probate,0,0,0,1,0,Sex,0,1,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
"137,""Roach Jr., John"",0,District,1,0,0,0,0,Corruption,0,0,0,1,0,0,Public admonition ,,0,0,1,0,0,0,0"
"138,""Smith, Michael G. "",0,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"139,""Williams, Guy"",0,District ,1,0,0,0,0,Legal,0,0,0,0,1,0,Public reprimand,,1,0,0,0,0,0,0"
"140,""Baggett, Kim"",1,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"141,""Bailey, Jonathan"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public admonition ,,0,0,1,0,0,0,0"
"142,""Crouch, Michael"",0,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public admonition ,,0,0,1,0,0,0,0"
"143,""Hensley, Dianne"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public warning,,0,0,0,1,0,0,0"
"144,""Lipscombe, John"",0,County,0,0,0,0,1,Other,0,0,0,0,0,1,Public warning,,0,0,0,1,0,0,0"
"145,""Madrid, Ruby"",1,County,0,0,0,0,1,Political,1,0,0,0,0,0,Public warning,,0,0,0,1,0,0,0"
"146,""McSpadden, Michael"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public warning,,0,0,0,1,0,0,0"
"147,""Rangel, Bonnie"",1,District ,1,0,0,0,0,Legal,0,0,0,0,1,0,Public warning,,0,0,0,1,0,0,0"
"148,""Riley, Mark"",0,County ,0,0,0,0,1,Sex,0,1,0,0,0,0,Public reprimand,,1,0,0,0,0,0,0"
"149,""Robison, Jack"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public warning,,0,0,0,1,0,0,0"
"150,""Rocha, Beatrice"",1,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Public admonition ,Order of additional education,0,0,1,0,0,0,1"
"151,""Saucedo, David"",0,county,0,0,0,0,1,Political,1,0,0,0,0,0,Public warning ,,0,0,0,1,0,0,0"
"152,""Strother, Ralph"",0,District,1,0,0,0,0,Legal,0,0,0,0,1,0,Public warning ,,0,0,0,1,0,0,0"
"153,""Sutherland, Mike"",0,County,0,0,0,0,1,Sex,0,1,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
"154,""Trejo, Mike"",0,Justice,0,0,1,0,0,Corruption,0,0,0,1,0,0,Public reprimand,Order of additional education,1,0,0,0,0,0,1"
"155,""Turcotte, Louis E. "",0,County ,0,0,0,0,1,Legal,0,0,0,0,1,0,Public warning,,0,0,0,1,0,0,0"
